GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
assignment6,default,Triangle,331,0,76,0,39,0,48,0,10,0
assignment6,default,TestClass,359,0,10,0,80,0,10,0,5,0
